block	head	mad
0	0	232.903625
0	1	245.193558
0	2	209.550125
0	3	228.577454
0	4	220.535461
0	5	248.986801
1	0	216.988724
1	1	231.246628
1	2	216.505890
1	3	151.073273
1	4	197.323441
1	5	179.414474
2	0	137.486526
2	1	38.524590
2	2	233.618942
2	3	179.720581
2	4	213.641388
2	5	40.707424
3	0	195.135620
3	1	203.175003
3	2	48.345566
3	3	146.634323
3	4	155.270645
3	5	194.904877
4	0	88.694725
4	1	56.519897
4	2	172.982422
4	3	164.650436
4	4	216.772995
4	5	78.196228
5	0	80.968224
5	1	144.778900
5	2	173.157364
5	3	178.360138
5	4	264.359222
5	5	158.986038
6	0	193.137360
6	1	168.864761
6	2	112.603638
6	3	157.292450
6	4	237.530579
6	5	113.850639
7	0	130.527878
7	1	139.274216
7	2	126.524338
7	3	136.328049
7	4	227.104263
7	5	203.555939
8	0	181.461716
8	1	138.673141
8	2	219.877884
8	3	157.241287
8	4	231.014404
8	5	151.573654
9	0	198.080490
9	1	199.196213
9	2	226.377579
9	3	195.685455
9	4	207.811295
9	5	218.882050
10	0	223.384201
10	1	223.026672
10	2	221.317245
10	3	228.168182
10	4	223.413513
10	5	221.455078
11	0	226.107300
11	1	229.060349
11	2	231.739944
11	3	226.901978
11	4	231.462753
11	5	238.619797
